member,dir,sd_oof,sd_test,ratio,mean_oof,mean_test,min_oof,max_oof,min_test,max_test,ks
lat_ctdrop_r400,ext_members7,0.3695641965610217,0.37087737711153906,1.003553321893022,0.7080804234610278,0.7079371178258926,0.0028217079646325944,0.9997955522289569,0.0028603674606163167,0.9997835178820027,0.004992054487335196
lat_rawdrop_r400,ext_members7,0.363938804509234,0.3654204249433854,1.0040710702343196,0.7061887495028469,0.7060385139024832,0.0038303875139298117,0.9997595772891635,0.004046739759655377,0.999747264536068,0.00497455910186595
ad_catnative,ext_members3,0.3763397666732398,0.37736087239851573,1.0027132549246716,0.7096389343967388,0.7094519426223446,1.890391479144114e-05,0.9999997091513821,9.00974222531547e-05,0.999999560979653,0.0049304211293083045
lat_ctfixte_r400,ext_members6,0.36765548669598563,0.36899196935103307,1.0036351494902416,0.7097170111851498,0.7095392632562848,0.002650780832248043,0.9997951800925365,0.002423580231504083,0.9997862533358817,0.004919306346066632
bei_identity_digit_enhanced103,ext_members2,0.36458630442410916,0.3657854207635347,1.0032889780139154,0.7097699371985262,0.7096708214333755,0.00018093901499109072,0.9999992411273583,0.00034987602325469656,0.99999879832635,0.00491600766045408
lattri_xgb,oof,0.3821024069497043,0.38283755405199454,1.0019239530788588,0.6967752060887638,0.6967714458270179,7.86998207331635e-05,0.9999998807907104,0.00013275485071062576,0.9999997019767761,0.004912674106108739
lat_ctfix_r400,ext_members6,0.36972992408292615,0.37103732180947957,1.0035360884834958,0.7080281748591359,0.7078589333809026,0.0026491525170104324,0.999793566336926,0.0023658889064755036,0.9997821112289172,0.004906691850962708
tabm_div,oof,0.36422998516539057,0.3656985288132563,1.004031913097981,0.7134148694197304,0.7134260687069617,3.4350781788816676e-05,1.0,3.336029499223514e-05,1.0000000149011612,0.004892578610538267
ravi_lgbm1c,ext_members11,0.3674979487873939,0.36910312231543885,1.0043678435031853,0.7093593446340208,0.7093111396612682,0.0005917345988564193,0.9999937415122986,0.0007847701199352741,0.9999942779541016,0.004889953936603519
kava_cat,ext_members12es,0.36206697691995904,0.3635864624061108,1.0041966972494365,0.709449516580374,0.7092963829037303,0.00021936168195679784,0.9999997615814209,0.0002659214660525322,0.9999998807907104,0.004887926619760119
lat_xgb,oof,0.3824165407051703,0.3832407102498543,1.0021551618639828,0.6956843026009997,0.6957885437795197,5.208714719628915e-05,0.9999998807907104,5.203173259360483e-05,0.9999998509883881,0.004887153971988911
xgb_ctraw_r400,ext_members7,0.3701399412843022,0.37131786960657703,1.003182386419006,0.7063452218873392,0.7063306043368356,0.0014675850979983807,0.999923586845398,0.0015952248591929673,0.999917197227478,0.00488016055288043
ad_gcatnote,ext_members3,0.37678642302405785,0.3777667367129444,1.0026017755125534,0.7091654704346817,0.709012394128175,5.1994860077283865e-05,0.9999995358386004,6.964165767109649e-05,0.9999994772783705,0.004860948998968939
view_resid_xgb,oof,0.3581930924628028,0.3589594363313241,1.0021394713763245,0.7098814262931297,0.709559311077245,0.00031619114452041686,0.9999998807907104,0.0003885867554345168,0.9999997913837433,0.004859717439035904
bolt_tabm_missing,ext_members2,0.34524930518228103,0.34692953390618897,1.0048667113841716,0.708671394357597,0.707852031566144,0.001177158672362566,0.9999967813491821,0.0018585147336125374,0.9999939799308777,0.004835382168181246
hgb,oof,0.36152905428317045,0.36263112983900136,1.003048373409479,0.7096068697701327,0.7093973937772255,0.00031976175459793796,0.9999991053676601,0.0003103212700600752,0.9999982366011164,0.004831578893977784
bolt_tabm_rank1,ext_members2,0.34321964888189643,0.3447505824672578,1.0044605068222308,0.7092988781440233,0.7083692262511759,0.0007109894067980349,1.0,0.0013267515460029244,0.9999998807907104,0.004829740301770968
mkt_xgb,ext_members2,0.3693243093589621,0.3703620605449094,1.0028098642836387,0.7099176777512597,0.7097865504069728,1.5902036466286518e-05,1.0,9.743487498781178e-05,1.0000000149011612,0.00480667811310076
imp_xgb_tuned,oof,0.3690867228724135,0.3701682157645586,1.002930186390148,0.7108823736937583,0.7107642705401013,3.718149309861474e-05,1.0,7.995371561264619e-05,1.0000000149011612,0.004772471754408647
bei_identity_digit_raw12,ext_members2,0.36295122433019267,0.36410506907642864,1.0031790628296278,0.7097957522872026,0.7095554700237793,0.00019000195322473165,0.9999996701239215,0.0002376862379263278,0.9999995396824285,0.004739573068386904
cat_native,oof,0.3628650932379446,0.3641470836047282,1.0035329669088422,0.7090981152828578,0.7089879016604114,0.00021483682670082334,0.9999988196238985,0.000331305252940191,0.9999981915971294,0.004724471236171479
lat_encdrop_r400,ext_members7,0.3407834103330433,0.3427478412347013,1.0057644557865602,0.7095165796139151,0.709012963288991,0.00526715826033232,0.9997320864666196,0.005381930196080399,0.9997058420739637,0.004723943689768695
lexb_lgb02,ext_members14,0.38038727031646896,0.3815650175460857,1.0030961793980038,0.7096024739570712,0.7094846690746083,0.0002434779933870076,0.9999993381564859,0.0002774518410095294,0.9999989624705787,0.00471904482562846
ad_gcatseed7,ext_members3,0.3778906246103266,0.3788056394136388,1.0024213747145905,0.7061922890159161,0.7062216438367444,6.227914036384937e-05,0.9999997511870518,8.696499105890208e-05,0.9999993617182246,0.00469836481625896
latr1_xgb,oof,0.3818020728244191,0.3825019218476866,1.0018330152534016,0.6979097302952834,0.6979449513461059,7.481825014110655e-05,0.9999998807907104,0.00012044657432852546,0.9999996870756149,0.004690389331958311
naji04,oof,0.37442875006923865,0.3759507989036865,1.004064989224696,0.7094316751353059,0.7093053200880458,0.0002158704010071233,0.9999474883079529,0.00024973880499601364,0.9999395608901978,0.0046811510654910515
bolt_cat_dual_seed81,ext_members2,0.3753537667652655,0.3763458956165924,1.0026431834156797,0.7096466094803445,0.7095547212558663,2.7296673579257913e-05,0.9999993443489075,3.358139656484127e-05,0.9999986886978149,0.004626085071955277
bolt_xgb_raw_bag,ext_members2,0.36104307510494554,0.36267666961411155,1.0045246526572795,0.70951607304259,0.7093831222624343,0.00011395206092856824,0.9999997615814209,0.0001418767060386017,0.9999998211860657,0.004623322929396045
lat_ctraw_r400,ext_members6,0.3668410076412487,0.368076738358093,1.0033685730087536,0.7083031544504605,0.7082021717402776,0.003186354627626615,0.9997828306319435,0.003168685972052319,0.999764278316256,0.004591860388018509
mkt_cat,ext_members2,0.3726228162767797,0.3734068016050444,1.0021039649050434,0.7092736819363226,0.7092746130597504,6.135393121929894e-05,0.9999992752080136,7.697326031640437e-05,0.9999990046036097,0.004557120991207975
altview,oof,0.3687537742975258,0.36958924188705566,1.0022656516292516,0.7102509232944801,0.7099795385157271,0.0001816734393957205,0.9999996535421806,0.00024408822580799876,0.9999992870390946,0.004539921221127563
dkv_lgb,ext_members12es,0.3671864547503012,0.36811183209831705,1.002520183781412,0.7101857799592902,0.70985216680856,0.0001317685081393986,0.999999937242647,0.0001943393013224656,0.9999997314072561,0.0045076987141806635
latr1_lgbm,oof,0.3804584762654799,0.3812385694604333,1.0020504029838173,0.6992285162808873,0.6991869619695475,0.0001478667149749889,0.9999995406628137,0.00019390667164568507,0.9999990418704128,0.0045072236636971574
qda_raw,ext_members8,0.025767693828291173,0.02615447374440912,1.015010265128705,0.5065283229875105,0.5068189311541835,9.357622968839299e-14,0.7899237860073334,8.322732639129307e-13,0.7688746886314883,0.004501477152036304
golem_f,ext_members,0.36459547888918603,0.3656355562993851,1.0028526887205729,0.7097134295299492,0.7095851163505302,0.00023861279226714444,0.9999992514112528,0.0004777442619086263,0.999998971552325,0.004469516348524216
bolt_lgb_raw_d4,ext_members2,0.35709504634712363,0.35880353073336485,1.004784396769762,0.7094561976816505,0.709403551045845,0.00010023434879258275,0.9999998807907104,0.0001241998834302649,0.9999998807907104,0.004468092183142147
bolt_xgb_dd_d4,ext_members2,0.3771596803493209,0.3783991409138029,1.0032863018744052,0.7085713778628209,0.7084706108283836,2.957141441584099e-05,1.0,9.454325481783599e-05,1.0,0.004465946191545278
bolt_cat_dual_view,ext_members2,0.37574082030609834,0.3767440507315678,1.002670006481202,0.7088312354043128,0.7087617433342832,4.640752013074234e-05,0.9999995827674866,3.072329855058342e-05,0.9999985098838806,0.004446714306082344
lat_lgbm,oof,0.3812735482013206,0.38208461140097993,1.0021272474932645,0.6962891265413437,0.6964118899490359,0.00013568724145233705,0.9999997862714013,0.00013574118792018073,0.9999992867102406,0.004437772035762677
pub_cat,oof,0.37369848119662646,0.3744405864498172,1.0019858396288217,0.7094731302908897,0.7094995721452458,4.575428e-05,0.9999997,6.633786e-05,0.9999995,0.004413558944596385
bei_xgb_screen_relations_treatment110,ext_members2,0.36459786692300794,0.3660475478177425,1.0039761090951218,0.7096406831132507,0.70948474192955,0.00024797083460725844,0.9999991655349731,0.0003098778397543356,0.9999989986419677,0.0044000070014383885
bolt_foldsafe_te_cat,ext_members2,0.377527743081221,0.37860456511724494,1.002852299084659,0.7072653015233924,0.7072393406556068,6.129875691840425e-05,0.9999996423721313,9.11785100470297e-05,0.9999990463256836,0.004396068308851087
bei_structural,ext_members2,0.36094784880550534,0.3623640941488088,1.0039236841222086,0.7094949397197288,0.7093882804595172,0.0005380237820243525,0.9999961381229924,0.0005481413772803281,0.9999947567885602,0.004389867947169557
digit_cat,oof,0.3741325708996,0.37492548544587895,1.0021193411318678,0.709548675912724,0.7095127791014376,4.94940577482339e-05,0.9999995231628418,7.923197699710727e-05,0.999999463558197,0.004389529716067986
bei_xgb_identity_digit_enhanced103,ext_members2,0.36348414422046926,0.36494952898111777,1.0040314956895608,0.709540026563467,0.7094547127671756,0.00017805673996917903,0.9999991655349731,0.00023467132123187182,0.9999990224838257,0.004377469684095359
