stem,cv,lb,day,fam,std,corr,era,cv6,lb6
w29_ad194std,0.9701116199443892,0.97116,2026-08-20,ens4,1.0,0.0,0.0,54.480422663427674,971160.0
w29_ad194std_logit,0.97003993618869,0.97116,2026-08-20,logit,1.0,0.0,0.0,-17.203333035786805,971160.0
w29_ad194std_rescale,0.9700978808735924,0.97115,2026-08-20,rescale,1.0,0.0,0.0,40.741351866602216,971150.0
w29_ad194stdcorr,0.9701182875261916,0.97118,2026-08-20,h3,1.0,1.0,0.0,61.148004465771955,971180.0
w34_ad195stdcorr,0.9701247948837451,0.97117,2026-08-21,h3,1.0,1.0,1.0,67.65536201935873,971170.0
w36_ad199std,0.970132324956614,0.97117,2026-08-21,ens4,1.0,0.0,1.0,75.18543488815865,971170.0
w36_ad199std_hybrid,0.9701231283130562,0.97114,2026-08-21,hybrid,1.0,0.0,1.0,65.98879133046242,971140.0
w36_ad199std_rescale,0.970121937254448,0.97116,2026-08-21,rescale,1.0,0.0,1.0,64.79773272216605,971160.0
w36_ad199stdcorr,0.9701400059625016,0.97118,2026-08-21,h3,1.0,1.0,1.0,82.86644077581951,971180.0
w40_ad211std_rankraw,0.9701044022,0.97114,2026-08-22,rankraw,1.0,0.0,1.0,47.26267827426245,971140.0
w38_ad202std_rankraw,0.9701067554,0.97114,2026-08-22,rankraw,1.0,0.0,1.0,49.61587827423397,971140.0
w34_ad196std_hybrid,0.970109125,0.97113,2026-08-22,hybrid,1.0,0.0,1.0,51.98547827423017,971130.0
w34_ad195std_hybrid,0.9701108333,0.97113,2026-08-22,hybrid,1.0,0.0,1.0,53.69377827424415,971130.0
w36_ad197std_hybrid,0.9701124257,0.97114,2026-08-22,hybrid,1.0,0.0,1.0,55.28617827421645,971140.0
w36_ad199std_h3,0.9701354276,0.97116,2026-08-22,h3,1.0,0.0,1.0,78.28807827425788,971160.0
w38_ad202std,0.9701305726,0.97116,2026-08-22,ens4,1.0,0.0,1.0,73.43307827423206,971160.0
w40_ad211std,0.9701309541,0.97117,2026-08-22,ens4,1.0,0.0,1.0,73.81457827426718,971170.0
w40_ad211stdcorr,0.9701374733,0.97118,2026-08-22,h3,1.0,1.0,1.0,80.33377827421084,971180.0
w38_ad202stdcorr,0.9701375891,0.97117,2026-08-22,h3,1.0,1.0,1.0,80.44957827424426,971170.0
