member,ks,ratio,res_oof,res_test,smoothing
ad_lgbs7,0.0066058773897834,1.0023075332141254,1.0,1.0,0.0
fmplr,0.0065507395206743,0.999772073422711,0.9985145414387975,0.9999088767541224,0.0013943353153249571
ad_lgbte,0.0064767341572959,1.0022627335756975,1.0,1.0,0.0
ad_gnn_wide,0.0062384380837772,0.9991612637026211,0.6706317465781659,0.8856032021383589,0.21497145556019293
ravi_cb1c,0.0062177064718074,1.004291406297238,0.7266293397592313,0.7487630863105885,0.022133746551357247
golem_e,0.0060765495232562,1.0027213759454845,0.6527917797876387,0.7987863733623127,0.14599459357467404
pubfe_lgb,0.006074614535576,1.0024178292824777,0.6962027513527509,0.7383885360206816,0.04218578466793066
om_xgb2,0.0060268727625694,1.0031253145086432,0.6241674127708937,0.7607913547664208,0.13662394199552708
lgbm_stump_lat_frac,0.0060211836039452,1.0015307835083376,1.0,1.0,0.0
ad_glgbcs3,0.0059767091283458,1.0023943370810378,1.0,1.0,0.0
ad_lgbnote,0.0057935752729828,1.0024410181067682,1.0,1.0,0.0
imp_lgbm,0.0057356480077604,1.0020648276645483,0.6981380420585823,0.745894391532963,0.04775634947438068
view_bounds_cat,0.0055504143107377,1.003409238903123,1.0,1.0,0.0
ad_glgbnote2,0.0055370227012672,1.002108587503268,1.0,1.0,0.0
bei_realmlp_seed01_fixed4,0.0054654585885232,1.001898844921447,0.9999913215663415,0.9999898751949025,-1.4463714390622329e-06
imp_xgb,0.0053446549923356,1.002292414460764,0.6517373500981386,0.7279599867702546,0.07622263667211604
gnb_raw,0.0052542211105318,1.0072910550149452,0.9829049320984886,0.9992170150724599,0.016312082973971243
view_resid_lgbm,0.0052443573156926,1.0014920336610431,1.0,1.0,0.0
logreg,0.0052407166548487,1.0052772123387617,1.0,1.0,0.0
ad_gcatlr02,0.005211347799528,1.0027849709635592,1.0,1.0,0.0
xgb_ctfix_r400,0.005207494260262,1.003368719309472,0.6670706959669872,0.9425484809417418,0.2754777849747546
imp_lgbm_tuned,0.0051407918632532,1.0022831859523498,1.0,1.0,0.0
ravi_xgb1c,0.0050624487084509,1.0044201359213056,0.6706953884249944,0.7315104184244453,0.060815029999450876
om_cat,0.0050368995292576,1.0031512124665407,0.6669810188191834,0.8998994269360315,0.23291840811684816
digit_xgb,0.0050280026717647,1.0022943287448411,0.6495286887320664,0.7257055301685442,0.07617684143647785
latwide_xgb,0.0050134298162389,1.0018877643963764,0.6487476297028071,0.8152223069705908,0.16647467726778375
bolt_cat_nested_te,0.0049938655379782,1.0030820034419954,0.7001789203739248,0.7488913338418235,0.048712413467898674
lat_ctdrop_r400,0.0049920544873351,1.003553321893022,0.9999797503214637,0.9999966250649674,1.6874743503758616e-05
lat_rawdrop_r400,0.0049745591018659,1.0040710702343196,0.999966732670976,0.9999966250649674,2.9892393991426403e-05
ad_catnative,0.0049304211293083,1.0027132549246716,1.0,1.0,0.0
lat_ctfixte_r400,0.0049193063460666,1.0036351494902416,0.9999913215663415,0.999993250129935,1.928563593489585e-06
bei_identity_digit_enhanced103,0.004916007660454,1.0032889780139154,1.0,1.0,0.0
lattri_xgb,0.0049126741061087,1.0019239530788588,0.6508449178369293,0.8199944651065467,0.1691495472696174
lat_ctfix_r400,0.0049066918509627,1.0035360884834958,0.9999927679719514,0.999993250129935,4.821579836500334e-07
tabm_div,0.0048925786105382,1.004031913097981,0.6465172722525887,0.7822188172877672,0.1357015450351785
ravi_lgbm1c,0.0048899539366035,1.0043678435031853,0.7198080909036998,0.740575493921742,0.020767403018042252
kava_cat,0.0048879266197601,1.0041966972494365,0.7254244838863183,0.7763396804611511,0.05091519657483279
lat_xgb,0.0048871539719889,1.0021551618639828,0.6502591235649848,0.808016820676202,0.15775769711121712
xgb_ctraw_r400,0.0048801605528804,1.003182386419006,0.6745920051376327,0.9490688554245331,0.2744768502869004
ad_gcatnote,0.0048609489989689,1.0026017755125534,1.0,1.0,0.0
view_resid_xgb,0.0048597174390359,1.0021394713763243,0.6839083036699649,0.8552794108713407,0.17137110720137583
bolt_tabm_missing,0.0048353821681812,1.0048667113841716,0.7307327924740623,0.7559955720852374,0.025262779611175068
hgb,0.0048315788939777,1.003048373409479,1.0,1.0,0.0
bolt_tabm_rank1,0.0048297403017709,1.0044605068222308,0.7280554956904345,0.7651753953736391,0.037119899683204616
mkt_xgb,0.0048066781131007,1.0028098642836387,0.6556411988388255,0.8005379646441806,0.14489676580535504
