k,gh,zmin,zmax,in_hull,l1,wmin,wmax,cond,sd_gap,added,ols
96,-5147.693701149859,965.705448018106,1135.2001796430811,False,1838.6011674264978,-68.80356241588979,158.66488982615624,3790493737.7180443,496.4015735753232,blend150fx_rankraw,1031.358526097996
97,-5150.9745182228635,965.705448018106,1135.2001796430811,False,1840.2485216642779,-68.74894678282956,158.7509977578822,3830075279.6701207,496.39126114511083,blend160orig_rescale,1031.3099983741445
98,-5146.696750105705,965.705448018106,1135.2001796430811,False,1839.7227794075181,-68.65901493123505,158.40111261658055,3869639105.9817533,496.3794876000366,stack_pub151_rankraw,1030.9592245516021
99,-5146.301507739128,965.705448018106,1135.2001796430811,False,1840.0358584661385,-68.66064590659455,158.40119575277438,3909585928.1987233,496.3791673604293,blend150sx_rankraw,1030.6277490022112
100,-5147.109958243475,965.705448018106,1135.2001796430811,False,1841.0924599488771,-68.66348376501466,158.39914852424363,3949190893.061581,496.37404650946524,stack_pub149_hybrid,1030.0383703457007
101,-5180.8209570022855,965.705448018106,1135.2001796430811,False,1843.9294058353908,-68.58178410321649,155.76641657310705,3988793617.425204,496.3013518991892,blend150sx_hybrid,1029.6806486891244
102,-5149.34774798211,965.705448018106,1135.2001796430811,False,1836.404285068067,-68.37617212562023,155.96470726944838,4028374569.7110453,496.26092715782175,blend150fx_hybrid,1029.152050801736
103,-5103.704863860419,965.705448018106,1135.2001796430811,False,1855.7103408021871,-68.34242867710267,154.4002054345272,4067956219.3841314,496.1753824673462,blend150fx_rescale,1028.9414786780785
104,-5105.803234316867,965.705448018106,1135.2001796430811,False,1849.2836941558946,-67.49363500451241,152.9318782849808,4107656717.9518285,496.13016502364434,w14a_repro159av_logit,1029.577909023021
105,-5006.053174944474,965.705448018106,1135.2001796430811,False,1842.441329218123,-66.69402169948677,147.30680597189948,4150065382.7725167,496.0514412756507,blend159av_logit,1030.2032192004547
106,-4997.696328507703,965.705448018106,1135.2001796430811,False,1853.4878813184325,-66.72106426243388,146.72371766494666,4196732475.289661,496.04936029986925,blend159_logit,1030.8176961665044
107,-5158.557081725143,965.705448018106,1135.2001796430811,False,1948.3530431419363,-66.14737237527034,136.55181998690935,4237122583.022399,495.8899224937848,blend158_logit,1031.4512702924374
108,-5168.209034782296,965.705448018106,1135.2001796430811,False,1960.5780810589417,-65.86395972787462,136.454899108118,4277059156.524763,495.73813200692507,blend150sx_logit,1031.9435437534253
109,-4581.856445943379,965.705448018106,1135.2001796430811,False,2002.7705203491073,-62.108589149954526,127.05314848756564,4317071659.402292,494.7162385170163,blend150fx_logit,1032.385923609555
110,-4590.1572284141275,965.705448018106,1135.2001796430811,False,1999.4860051091534,-62.080171634564685,126.84111411738473,4356938251.118937,494.6844163756013,stack_pub86_hybrid,1033.2024118033912
111,-4597.037955548157,965.705448018106,1150.0534827965093,False,1999.5819219377233,-62.102230083834,127.03530235810288,4396879463.923935,494.67356429602455,stack_pub88_mine_logit,1034.2551241546805
112,-4598.337400200919,965.705448018106,1168.6484368040874,False,2001.1253824077296,-62.12692476292831,127.08434740537135,4436922815.987883,494.65990046202967,stack_pub74_logit,1035.455064446193
