stem,true_cv,n_src,reg_spread,reg_cv,have_oof,cv_w25a,cv_w46c,cv_w23b,cv_w45b,err6
w34_ad195stdcorr,0.9701247948837451,2,0.0,0.9701247948837451,True,,0.9701247948837451,0.9701247948837451,,0.0
w34_ad196std,0.970118550552755,2,0.0,0.970118550552755,True,,,0.970118550552755,0.970118550552755,0.0
w34_ad196std_h3,0.9701199172668695,2,1.1102230246251565e-10,0.9701199172668696,True,,,0.9701199172668696,0.9701199172668695,1.1102230246251565e-10
w34_ad196std_hybrid,0.9701091249775423,2,0.0,0.9701091249775422,True,,,0.9701091249775422,0.9701091249775422,-1.1102230246251565e-10
w34_ad196std_logit,0.9700495032230128,2,0.0,0.9700495032230128,True,,,0.9700495032230128,0.9700495032230128,0.0
w34_ad196std_rankraw,0.9700979782970403,2,1.1102230246251565e-10,0.9700979782970404,True,,,0.9700979782970404,0.9700979782970403,1.1102230246251565e-10
w34_ad196std_rescale,0.9701039146473381,2,0.0,0.970103914647338,True,,,0.970103914647338,0.970103914647338,-1.1102230246251565e-10
w36_ad197std,0.9701210588551309,1,0.0,0.9701210588551308,True,,,,0.9701210588551308,-1.1102230246251565e-10
w36_ad197std_h3,0.9701244431160363,1,0.0,0.9701244431160363,True,,,,0.9701244431160363,0.0
w36_ad197std_hybrid,0.9701124257188621,1,0.0,0.970112425718862,True,,,,0.970112425718862,-1.1102230246251565e-10
w36_ad197std_logit,0.9700458725948065,1,0.0,0.9700458725948065,True,,,,0.9700458725948065,0.0
w36_ad197std_rankraw,0.9701011303330037,1,0.0,0.9701011303330038,True,,,,0.9701011303330038,1.1102230246251565e-10
w36_ad197std_rescale,0.9701085984575708,1,0.0,0.9701085984575707,True,,,,0.9701085984575707,-1.1102230246251565e-10
w36_ad197stdcorr,0.9701286299342438,1,0.0,0.9701286299342439,True,,,,0.9701286299342439,1.1102230246251565e-10
w36_ad199std,0.9701323249566141,2,0.0,0.970132324956614,True,,0.970132324956614,0.970132324956614,,-1.1102230246251565e-10
w36_ad199std_h3,0.9701354276135699,2,1.1102230246251565e-10,0.97013542761357,True,,,0.97013542761357,0.9701354276135699,1.1102230246251565e-10
w36_ad199std_hybrid,0.9701231283130562,2,0.0,0.9701231283130562,True,,0.9701231283130562,0.9701231283130562,,0.0
w36_ad199std_logit,0.9700571065601007,2,0.0,0.9700571065601006,True,,,0.9700571065601006,0.9700571065601006,-1.1102230246251565e-10
w36_ad199std_rankraw,0.9701111921519867,2,0.0,0.9701111921519866,True,,,0.9701111921519866,0.9701111921519866,-1.1102230246251565e-10
w36_ad199std_rescale,0.970121937254448,2,0.0,0.970121937254448,True,,0.970121937254448,0.970121937254448,,0.0
w36_ad199stdcorr,0.9701400059625016,2,0.0,0.9701400059625016,True,,0.9701400059625016,0.9701400059625016,,0.0
w38_ad202std,0.9701305726031559,1,0.0,0.970130572603156,True,,,,0.970130572603156,1.1102230246251565e-10
w38_ad202std_h3,0.9701330213726455,1,0.0,0.9701330213726453,True,,,,0.9701330213726453,-1.1102230246251565e-10
w38_ad202std_hybrid,0.9701232617749084,1,0.0,0.9701232617749083,True,,,,0.9701232617749083,-1.1102230246251565e-10
w38_ad202std_logit,0.9700575874003036,1,0.0,0.9700575874003036,True,,,,0.9700575874003036,0.0
w38_ad202std_rankraw,0.9701067553636527,1,0.0,0.9701067553636528,True,,,,0.9701067553636528,1.1102230246251565e-10
w38_ad202std_rescale,0.970120035404027,1,0.0,0.9701200354040269,True,,,,0.9701200354040269,-1.1102230246251565e-10
w38_ad202stdcorr,0.9701375890907046,1,0.0,0.9701375890907046,True,,,,0.9701375890907046,0.0
w40_ad211std,0.9701309541017874,1,0.0,0.9701309541017873,True,,,,0.9701309541017873,-1.1102230246251565e-10
w40_ad211std_h3,0.9701331846110895,1,0.0,0.9701331846110894,True,,,,0.9701331846110894,-1.1102230246251565e-10
w40_ad211std_hybrid,0.9701194945387204,1,0.0,0.9701194945387205,True,,,,0.9701194945387205,1.1102230246251565e-10
w40_ad211std_logit,0.9700578440584922,1,0.0,0.970057844058492,True,,,,0.970057844058492,-1.1102230246251565e-10
w40_ad211std_rankraw,0.9701044021654542,1,0.0,0.9701044021654543,True,,,,0.9701044021654543,1.1102230246251565e-10
w40_ad211std_rescale,0.9701209816379527,1,0.0,0.9701209816379527,True,,,,0.9701209816379527,0.0
w40_ad211stdcorr,0.9701374732624001,1,0.0,0.9701374732624002,True,,,,0.9701374732624002,1.1102230246251565e-10
