a,b,kind_a,kind_b,auc_a,auc_b,deficit,rho,sd_gap,mean_gap,law_rho,law_if,law_if_fpc,r_rho,r_if,r_if_fpc
OURS:blend158_logit,SYN:iv40s0a,ours,synth,0.9699613898723587,0.9690568461491886,0.0009045437231700593,0.9918107406066765,9.903335682312264e-05,0.0009100641835692461,7.136816540354538e-05,0.00010133853714325246,9.689819038671869e-05,1.387640501379666,0.9772526781507492,1.0220351528535523
OURS:blend158_logit,SYN:iv40s0b,ours,synth,0.9699613898723587,0.9692238766636352,0.0007375132087235059,0.9918341050812689,9.223875408877171e-05,0.0007425734451809232,7.107301015851932e-05,9.393126066166862e-05,8.98154782517985e-05,1.2978028351837765,0.9819814344982215,1.0269806038351157
OURS:blend158_logit,SYN:rd40s0a,ours,synth,0.9699613898723587,0.9691779605091455,0.0007834293632131839,0.9916659573063488,9.440234751777509e-05,0.0007905171734892472,7.181815713982698e-05,9.656656739064204e-05,9.233531384791031e-05,1.314463518382651,0.9775883110340663,1.022386166069349
OURS:blend158_logit,SYN:rd40s0b,ours,synth,0.9699613898723587,0.9690843874366427,0.0008770024357159789,0.9922254817036907,9.777129317090579e-05,0.0008806140087812965,6.952907476784176e-05,9.981610321992165e-05,9.544246489163312e-05,1.4061929271655789,0.9795142268326125,1.0244003367045984
OURS:blend158_logit,SYN:iv86s0a,ours,synth,0.9699613898723587,0.9673277004087414,0.002633689463617306,0.9884477770309807,0.00016847576093309945,0.0026344665554547428,8.655944873629526e-05,0.00017175088869978268,0.00016422528666260494,1.9463589867163267,0.9809309413681807,1.0258819719963526
OURS:blend158_logit,SYN:iv86s0b,ours,synth,0.9699613898723587,0.9671389428213523,0.002822447051006427,0.9879930717002541,0.00017642824542291098,0.0028232668045061232,8.844479725472897e-05,0.00017809033459196145,0.00017028695729969228,1.994783762291656,0.9906671567951252,1.0360643482073058
OURS:blend158_logit,SYN:rd86s0a,ours,synth,0.9699613898723587,0.9671813486261908,0.0027800412461679302,0.9884707578712714,0.00017377396656247974,0.0027805606538942244,8.66356153023419e-05,0.00017620992814645285,0.0001684889445505667,2.0058028785972315,0.9861757983242095,1.0313671738285886
OURS:blend158_logit,SYN:rd86s0b,ours,synth,0.9699613898723587,0.9672795553078654,0.002681834564493335,0.9880926671607165,0.00017138616159669966,0.0026829926734792363,8.792045141167845e-05,0.00017385687852336168,0.00016623899841166227,1.9493321388240108,0.9857887881822862,1.0309624289981063
OURS:blend158_logit,STK:s0a,ours,stackhalf,0.9699613898723587,0.9699188896278209,4.2500244537779786e-05,0.9928714534389915,3.9541979969839346e-05,4.2781278527170365e-05,6.610052675621918e-05,4.5294766979456105e-05,4.331008792926545e-05,0.5982097558113479,0.872992237442661,0.9129969912418506
OURS:blend158_logit,STK:s0b,ours,stackhalf,0.9699613898723587,0.9698489422056923,0.00011244766666640427,0.9941961473164138,5.435349215405838e-05,0.00011316433861802747,5.959246835622206e-05,5.642055253097468e-05,5.3948375366244034e-05,0.912086605125215,0.9633633439555295,1.007509341756153
OURS:blend158_logit,STK:s1a,ours,stackhalf,0.9699613898723587,0.9699951526153978,3.3762743039122967e-05,0.9950060439471626,3.978977390083774e-05,-3.3263925710993296e-05,5.523287122845809e-05,4.1298241149402445e-05,3.9488677716696936e-05,0.7204002438377045,0.9634738137368223,1.0076248738005602
OURS:blend158_logit,STK:s1b,ours,stackhalf,0.9699613898723587,0.9697817311143507,0.00017965875800796116,0.9911332723317636,5.230526899581543e-05,0.00017965779979387737,7.391666104570265e-05,5.6123645201027036e-05,5.366447761327164e-05,0.7076248880272757,0.9319649286582381,0.974672098231325
