a,b,dcv,dlb,sd,p_reverse,ga,gb,same,r,sd_pred,z
blend150fx_hybrid,stack_pub86_hybrid,0.000336435960756,0.00019,6.025879338648544e-05,0.0,hybrid,hybrid,True,-0.00014643596075599997,6.0396927463752726e-05,-2.424559773241506
blend150fx_hybrid,stack_pub88_mine_logit,0.000354289818621,0.00018,6.52909872607761e-05,0.0,hybrid,logit,False,-0.000174289818621,6.541849649872346e-05,-2.664228436133518
blend150fx_hybrid,w16e_aonly,-4.0194126642911776e-05,-9.00000000000345e-05,1.8916041829736204e-05,0.018,hybrid,h3+corr,False,-4.980587335712272e-05,1.935157112926484e-05,-2.5737379680662045
blend150fx_hybrid,w16h_h3av6,-3.4492675496933245e-05,-5.999999999994898e-05,1.737354310886951e-05,0.022,hybrid,h3+corr,False,-2.5507324503015738e-05,1.78467550782324e-05,-1.429241584321785
blend150fx_hybrid,w16i_schemeavg,-4.142992118094657e-05,-7.999999999996898e-05,1.8639517996710103e-05,0.016,hybrid,h3+corr,False,-3.857007881902241e-05,1.9081359957202905e-05,-2.021348525761804
blend150fx_hybrid,w16l_maskw_h3,-3.15038779774568e-05,-5.999999999994898e-05,1.8551351000250613e-05,0.034,hybrid,h3+corr,False,-2.849612202249218e-05,1.8995243894226945e-05,-1.5001714208656596
blend150fx_hybrid,w16n_finegrid,-4.146013924599679e-05,-7.999999999996898e-05,1.8608742803487754e-05,0.016,hybrid,h3+corr,False,-3.853986075397219e-05,1.905129852248985e-05,-2.0229519110456593
blend150fx_hybrid,w16q_ens4avg,-3.728078548403957e-05,-9.00000000000345e-05,2.07177544661772e-05,0.026,hybrid,ens4+corr,False,-5.271921451599493e-05,2.1116155350524205e-05,-2.496629411977033
blend150fx_hybrid,w16t_cellens4,-3.713632740243167e-05,-9.00000000000345e-05,2.138477708081015e-05,0.032,hybrid,ens4+corr,False,-5.286367259760283e-05,2.1770975115107035e-05,-2.428172018850931
blend150fx_logit,blend150fx_rankraw,-7.423477946688628e-05,9.99999999995449e-06,3.735254459137595e-05,0.024,logit,rankraw,False,8.423477946684077e-05,3.757498175804475e-05,2.2417783196609595
blend150fx_logit,blend150fx_rescale,-6.269982600659585e-05,9.99999999995449e-06,2.8729676737480272e-05,0.012,logit,rescale,False,7.269982600655034e-05,2.9018287201466282e-05,2.505310720161211
blend150fx_logit,blend150sx,-8.321104173747429e-05,-1.0000000000065512e-05,2.377712145351186e-05,0.0,logit,ens4,False,7.321104173740878e-05,2.4125052772620428e-05,3.034647941599371
blend150fx_logit,blend150sx_hybrid,-6.625446504016086e-05,1.999999999990898e-05,3.3754685825906614e-05,0.022,logit,hybrid,False,8.625446504006984e-05,3.4000668844484923e-05,2.5368461260155692
blend150fx_logit,blend150sx_logit,-5.546143992507524e-06,-1.0000000000065512e-05,7.62759041247201e-06,0.258,logit,logit,True,-4.453856007557988e-06,8.651404635497152e-06,-0.5148130500431792
blend150fx_logit,blend150sx_rankraw,-7.201980290971743e-05,9.99999999995449e-06,3.770951220496537e-05,0.026,logit,rankraw,False,8.201980290967192e-05,3.792985601611347e-05,2.1624074416424897
blend150fx_logit,blend153,-8.449152146117189e-05,-1.0000000000065512e-05,2.392027078466763e-05,0.0,logit,ens4,False,7.449152146110638e-05,2.4266149696202124e-05,3.0697709522811105
